DATE,USALORSGPNOSTSAM
1960-01-01,101.000972058201
1960-02-01,101.011164740925
1960-03-01,100.936316019609
1960-04-01,100.778861816524
1960-05-01,100.557511017208
1960-06-01,100.289600560028
1960-07-01,99.9780639735789
1960-08-01,99.6223759648889
1960-09-01,99.2322368980142
1960-10-01,98.8438522892671
1960-11-01,98.5033430934128
1960-12-01,98.2504353653309
1961-01-01,98.0990625834404
1961-02-01,98.0500786587836
1961-03-01,98.0960641975401
1961-04-01,98.2183163467211
1961-05-01,98.3965656306933
1961-06-01,98.6128203920326
1961-07-01,98.8508510313262
1961-08-01,99.0974809280315
1961-09-01,99.3419172571866
1961-10-01,99.5740376254076
1961-11-01,99.783929473258
1961-12-01,99.9618820836303
1962-01-01,100.099552720214
1962-02-01,100.190232801445
1962-03-01,100.231599602663
1962-04-01,100.231419493724
1962-05-01,100.199427594001
1962-06-01,100.141900553982
1962-07-01,100.058280839053
1962-08-01,99.9460372357112
1962-09-01,99.8070855655145
1962-10-01,99.6559078585346
1962-11-01,99.5117017210672
1962-12-01,99.391327532536
1963-01-01,99.3016925812654
1963-02-01,99.2453766763163
1963-03-01,99.2237614241852
1963-04-01,99.2375129477775
1963-05-01,99.285169736522
1963-06-01,99.3589427196947
1963-07-01,99.4378115648421
1963-08-01,99.4999553461384
1963-09-01,99.5344789638931
1963-10-01,99.5539691813205
1963-11-01,99.5790483718052
1963-12-01,99.6238434919619
1964-01-01,99.6809196698857
1964-02-01,99.7334446946046
1964-03-01,99.7661435566541
1964-04-01,99.7762879826165
1964-05-01,99.7664611579531
1964-06-01,99.738788173549
1964-07-01,99.6904870940587
1964-08-01,99.6202158616438
1964-09-01,99.5357003044505
1964-10-01,99.4627188097038
1964-11-01,99.43065712622
1964-12-01,99.4573988147656
1965-01-01,99.5313199854243
1965-02-01,99.6305982902089
1965-03-01,99.7387950505866
1965-04-01,99.8584478508767
1965-05-01,100.002096670788
1965-06-01,100.182434841794
1965-07-01,100.400653503905
1965-08-01,100.651468379629
1965-09-01,100.925272375128
1965-10-01,101.207812279734
1965-11-01,101.480693889335
1965-12-01,101.721173821591
1966-01-01,101.902605261335
1966-02-01,102.000921832067
1966-03-01,102.005350021701
1966-04-01,101.934879062463
1966-05-01,101.819662633286
1966-06-01,101.687944186045
1966-07-01,101.556583872547
1966-08-01,101.433436227113
1966-09-01,101.319921814719
1966-10-01,101.213203871024
1966-11-01,101.107479547806
1966-12-01,100.994994825429
1967-01-01,100.867207200933
1967-02-01,100.718094625111
1967-03-01,100.548744293709
1967-04-01,100.373616542524
1967-05-01,100.212080615271
1967-06-01,100.080763086495
1967-07-01,99.9853137983551
1967-08-01,99.9279304159491
1967-09-01,99.9124374163537
1967-10-01,99.946813489608
1967-11-01,100.039281010604
1967-12-01,100.191014850922
1968-01-01,100.384765503907
1968-02-01,100.594989594587
1968-03-01,100.795042949328
1968-04-01,100.963354925432
1968-05-01,101.083896559791
1968-06-01,101.149036327385
1968-07-01,101.165881394117
1968-08-01,101.149082727773
1968-09-01,101.117225772437
1968-10-01,101.091826468014
1968-11-01,101.090052323806
1968-12-01,101.11722971936
1969-01-01,101.157831846838
1969-02-01,101.188172704179
1969-03-01,101.188212330373
1969-04-01,101.154186094001
1969-05-01,101.088457022887
1969-06-01,100.991956149652
1969-07-01,100.859085428911
1969-08-01,100.682220286236
1969-09-01,100.458911637672
1969-10-01,100.202228013362
1969-11-01,99.9314838864265
1969-12-01,99.6656212475829
1970-01-01,99.4178854089444
1970-02-01,99.1971624091545
1970-03-01,99.0081316186238
1970-04-01,98.8495824138073
1970-05-01,98.7162549031666
1970-06-01,98.5985213331318
1970-07-01,98.4803001711246
1970-08-01,98.3511331051999
1970-09-01,98.2181675672037
1970-10-01,98.1187641782861
1970-11-01,98.0946500501811
1970-12-01,98.1639368344497
1971-01-01,98.3007676723643
1971-02-01,98.4551594437567
1971-03-01,98.5807882974792
1971-04-01,98.661508210312
1971-05-01,98.6986204585363
1971-06-01,98.7011362723574
1971-07-01,98.6790262834573
1971-08-01,98.6444693468635
1971-09-01,98.6148015624078
1971-10-01,98.6163048245235
1971-11-01,98.6762744137993
1971-12-01,98.8129023193288
1972-01-01,99.020852973441
1972-02-01,99.2825098238015
1972-03-01,99.5738588783278
1972-04-01,99.8663986765495
1972-05-01,100.136067107285
1972-06-01,100.372091350075
1972-07-01,100.587415667061
1972-08-01,100.805869058537
1972-09-01,101.050639332325
1972-10-01,101.332415968594
1972-11-01,101.650415413192
1972-12-01,101.990620511668
1973-01-01,102.321260233178
1973-02-01,102.603513737981
1973-03-01,102.803062012018
1973-04-01,102.905226202808
1973-05-01,102.908617621438
1973-06-01,102.825554005385
1973-07-01,102.689360603386
1973-08-01,102.534728973627
1973-09-01,102.382166751511
1973-10-01,102.224121135213
1973-11-01,102.041423224168
1973-12-01,101.820006995433
1974-01-01,101.569205833717
1974-02-01,101.305988712558
1974-03-01,101.041555570351
1974-04-01,100.769118825625
1974-05-01,100.474251445194
1974-06-01,100.145695081409
1974-07-01,99.7875975166021
1974-08-01,99.4103998621539
1974-09-01,99.024013170199
1974-10-01,98.6325414135573
1974-11-01,98.2408985265645
1974-12-01,97.8616503325132
1975-01-01,97.5217263627946
1975-02-01,97.2521793659122
1975-03-01,97.0754350878516
1975-04-01,97.0009725915469
1975-05-01,97.0248741129487
1975-06-01,97.1349983175234
1975-07-01,97.3087375521047
1975-08-01,97.5235640244237
1975-09-01,97.762811420908
1975-10-01,98.0183496436769
1975-11-01,98.2847693760479
1975-12-01,98.5520861817681
